tweet_id,retweets,favorites,creation_time
804738756058218496,3646,13173,2016-12-02 17:27:25+00:00
804475857670639616,1921,5926,2016-12-02 00:02:45+00:00
804413760345620481,3058,0,2016-12-01 19:56:00+00:00
804026241225523202,15265,42654,2016-11-30 18:16:08+00:00
803773340896923648,2607,9680,2016-11-30 01:31:12+00:00
803692223237865472,7038,0,2016-11-29 20:08:52+00:00
803638050916102144,3947,10527,2016-11-29 16:33:36+00:00
803380650405482500,1788,7502,2016-11-28 23:30:47+00:00
803321560782307329,5036,0,2016-11-28 19:35:59+00:00
803276597545603072,2322,9672,2016-11-28 16:37:19+00:00
802952499103731712,1904,8699,2016-11-27 19:09:28+00:00
802624713319034886,2768,0,2016-11-26 21:26:58+00:00
802600418706604034,1397,6857,2016-11-26 19:50:26+00:00
802572683846291456,2399,8647,2016-11-26 18:00:13+00:00
802323869084381190,5568,15558,2016-11-26 01:31:31+00:00
802265048156610565,1314,6697,2016-11-25 21:37:47+00:00
802239329049477120,2501,8770,2016-11-25 19:55:35+00:00
802185808107208704,257,0,2016-11-25 16:22:55+00:00
801958328846974976,1616,7466,2016-11-25 01:18:59+00:00
801854953262350336,222,1743,2016-11-24 18:28:13+00:00
801538201127157760,1983,7925,2016-11-23 21:29:33+00:00
801285448605831168,784,5833,2016-11-23 04:45:12+00:00
801167903437357056,5605,23487,2016-11-22 20:58:07+00:00
801127390143516673,3761,0,2016-11-22 18:17:08+00:00
801115127852503040,2003,7782,2016-11-22 17:28:25+00:00
800859414831898624,91,655,2016-11-22 00:32:18+00:00
800855607700029440,1530,0,2016-11-22 00:17:10+00:00
800751577355128832,2667,10224,2016-11-21 17:23:47+00:00
800513324630806528,2857,12692,2016-11-21 01:37:04+00:00
800459316964663297,2083,9171,2016-11-20 22:02:27+00:00
800443802682937345,4094,0,2016-11-20 21:00:48+00:00
800388270626521089,2659,10748,2016-11-20 17:20:08+00:00
800188575492947969,3758,0,2016-11-20 04:06:37+00:00
